
ANOMALY tick: +10@2015.04.01.15.39.35
138.37.36.248->138.37.37.194: 169.0 (-31.0)
138.37.36.248->138.37.37.34: 5.0 (5.0)
138.37.36.248->138.37.88.219: 0.0 (-1.0)
138.37.37.238->138.37.36.177: 0.0 (-6.0)
138.37.37.238->138.37.36.201: 6.0 (5.0)
138.37.37.238->138.37.0.253: 0.0 (-6.0)
138.37.37.238->138.37.36.230: 0.0 (-4.0)
138.37.37.238->138.37.36.133: 0.0 (-1.0)
138.37.37.238->138.37.36.142: 29.0 (29.0)
138.37.37.238->138.37.36.211: 8.0 (-36.0)
138.37.37.238->138.37.36.116: 2.0 (1.0)
138.37.37.238->138.37.36.102: 16.0 (15.0)
138.37.37.238->138.37.36.172: 0.0 (-6.0)
138.37.37.238->138.37.36.85: 0.0 (-1.0)
138.37.37.238->138.37.36.112: 1.0 (1.0)
138.37.37.238->138.37.36.143: 1.0 (1.0)
138.37.37.238->138.37.36.28: 11.0 (11.0)
138.37.37.238->138.37.36.51: 6.0 (6.0)
138.37.37.238->138.37.36.107: 1.0 (-2.0)
138.37.37.238->138.37.36.167: 11.0 (11.0)
138.37.37.238->138.37.36.106: 5.0 (5.0)
138.37.37.238->138.37.36.154: 0.0 (-1.0)
138.37.37.238->138.37.36.125: 0.0 (-2.0)
138.37.37.238->138.37.36.138: 42.0 (42.0)
138.37.37.238->138.37.36.145: 0.0 (-1.0)
138.37.37.238->138.37.36.5: 0.0 (-1.0)
138.37.37.238->138.37.36.66: 0.0 (-1.0)
138.37.37.238->138.37.36.198: 1.0 (1.0)
138.37.37.238->138.37.36.108: 0.0 (-6.0)
138.37.37.238->138.37.36.33: 13.0 (13.0)
138.37.37.238->138.37.36.1: 3.0 (3.0)
138.37.36.177->138.37.37.196: 0.0 (-2.0)
138.37.36.177->138.37.37.70: 2.0 (2.0)
138.37.36.177->138.37.36.28: 1.0 (1.0)
138.37.36.101->138.37.37.196: 1.0 (1.0)
138.37.36.101->138.37.37.72: 2.0 (2.0)
138.37.36.101->138.37.37.142: 3.0 (3.0)
138.37.36.111->138.37.37.196: 0.0 (-2.0)
138.37.36.111->138.37.36.60: 0.0 (-10.0)
138.37.36.111->138.37.36.25: 0.0 (-3.0)
138.37.36.111->138.37.36.33: 0.0 (-2.0)
138.37.37.196->138.37.36.13: 0.0 (-1.0)
138.37.37.196->138.37.36.160: 3.0 (2.0)
138.37.37.196->138.37.36.64: 0.0 (-1.0)
138.37.37.196->138.37.36.206: 1.0 (1.0)
138.37.37.196->138.37.36.230: 1.0 (1.0)
138.37.37.196->138.37.36.144: 3.0 (2.0)
138.37.37.196->138.37.36.122: 1.0 (1.0)
138.37.37.196->138.37.36.21: 0.0 (-1.0)
138.37.37.196->138.37.36.210: 0.0 (-2.0)
138.37.37.196->138.37.36.28: 1.0 (1.0)
138.37.37.196->138.37.36.167: 0.0 (-1.0)
138.37.37.196->138.37.36.106: 0.0 (-1.0)
138.37.37.196->138.37.36.125: 2.0 (2.0)
138.37.37.196->138.37.36.93: 0.0 (-1.0)
138.37.37.196->138.37.36.5: 0.0 (-1.0)
138.37.37.196->138.37.36.79: 0.0 (-1.0)
138.37.37.196->138.37.36.139: 1.0 (-2.0)
138.37.37.196->138.37.36.217: 1.0 (1.0)
138.37.37.196->138.37.36.120: 1.0 (1.0)
138.37.37.196->138.37.36.24: 1.0 (1.0)
138.37.37.196->138.37.36.129: 1.0 (1.0)
138.37.37.196->138.37.36.27: 0.0 (-1.0)
138.37.37.196->138.37.36.96: 1.0 (1.0)
138.37.37.196->138.37.36.108: 1.0 (1.0)
138.37.37.196->138.37.36.48: 0.0 (-1.0)
138.37.37.196->138.37.36.137: 1.0 (1.0)
138.37.37.196->138.37.36.173: 1.0 (1.0)
138.37.37.196->138.37.36.118: 1.0 (1.0)
138.37.37.196->138.37.36.1: 0.0 (-2.0)
138.37.37.196->138.37.36.19: 0.0 (-1.0)
138.37.36.132->138.37.37.70: 5.0 (5.0)
138.37.36.132->138.37.0.88: 0.0 (-1.0)
138.37.36.13->138.37.37.88: 3.0 (3.0)
138.37.36.13->138.37.36.125: 1.0 (1.0)
138.37.36.13->138.37.36.138: 1.0 (1.0)
138.37.37.72->138.37.36.230: 0.0 (-1.0)
138.37.37.72->138.37.36.5: 0.0 (-1.0)
173.194.137.105->138.37.36.51: 6.0 (4.0)
138.37.37.67->138.37.36.206: 0.0 (-1.0)
138.37.37.67->138.37.36.230: 1.0 (1.0)
138.37.37.67->138.37.36.72: 1.0 (1.0)
138.37.37.67->138.37.36.147: 0.0 (-27.0)
138.37.37.67->138.37.36.8: 0.0 (-1.0)
138.37.37.85->138.37.36.73: 1.0 (1.0)
138.37.37.84->138.37.36.202: 1.0 (1.0)
138.37.37.84->138.37.36.218: 0.0 (-1.0)
138.37.36.74->138.37.36.221: 0.0 (-1.0)
138.37.36.206->138.37.37.88: 0.0 (-1.0)
138.37.36.168->138.37.36.122: 41.0 (41.0)
138.37.36.168->138.37.36.18: 0.0 (-5.0)
138.37.36.123->138.37.36.146: 0.0 (-6.0)
138.37.37.71->138.37.36.73: 0.0 (-7.0)
138.37.37.71->138.37.36.145: 1.0 (1.0)
138.37.37.71->138.37.36.99: 0.0 (-3.0)
54.240.167.126->138.37.36.107: 2.0 (1.0)
138.37.0.253->138.37.37.73: 0.0 (-1.0)
138.37.37.88->138.37.36.105: 1.0 (1.0)
138.37.37.88->138.37.36.108: 1.0 (1.0)
138.37.37.88->138.37.36.118: 1.0 (1.0)
138.37.88.89->138.37.36.137: 2.0 (1.0)
138.37.36.30->138.37.36.180: 1.0 (1.0)
138.37.37.70->138.37.36.116: 0.0 (-1.0)
138.37.37.70->138.37.36.31: 0.0 (-1.0)
138.37.37.70->138.37.36.96: 1.0 (1.0)
138.37.36.133->138.37.37.82: 1.0 (1.0)
138.37.36.133->138.37.37.74: 1.0 (1.0)
138.37.36.133->138.37.36.5: 0.0 (-1.0)
138.37.36.133->138.37.36.108: 2.0 (2.0)
138.37.36.60->138.37.36.122: 1.0 (1.0)
138.37.36.60->138.37.36.217: 0.0 (-11.0)
138.37.36.60->138.37.37.131: 0.0 (-1.0)
138.37.37.139->138.37.36.143: 1.0 (1.0)
138.37.36.155->54.84.181.184: 1.0 (1.0)
138.37.36.155->173.252.120.2: 3.0 (2.0)
138.37.36.155->205.185.216.10: 0.0 (-2.0)
138.37.36.116->138.37.36.73: 1.0 (1.0)
138.37.36.146->138.37.36.48: 1.0 (1.0)
138.37.36.102->138.37.36.172: 0.0 (-1.0)
138.37.36.102->138.37.36.99: 1.0 (1.0)
138.37.37.82->138.37.36.58: 0.0 (-15.0)
138.37.37.82->138.37.36.51: 1.0 (1.0)
138.37.37.82->138.37.36.137: 1.0 (1.0)
138.37.37.77->138.37.36.31: 0.0 (-1.0)
138.37.37.77->138.37.36.73: 1.0 (1.0)
138.37.37.77->138.37.36.71: 0.0 (-1.0)
138.37.36.172->138.37.36.140: 0.0 (-29.0)
138.37.36.172->138.37.36.147: 4.0 (4.0)
138.37.36.112->138.37.95.206: 2.0 (2.0)
138.37.36.166->138.37.36.29: 4.0 (4.0)
138.37.36.243->138.37.37.74: 0.0 (-16.0)
138.37.36.4->138.37.37.137: 0.0 (-1.0)
138.37.36.143->138.37.36.145: 0.0 (-1.0)
138.37.36.58->138.37.36.22: 1.0 (1.0)
138.37.36.73->138.37.36.147: 0.0 (-7.0)
138.37.36.167->138.37.36.22: 1.0 (1.0)
138.37.37.197->138.37.36.145: 1.0 (1.0)
138.37.37.74->138.37.36.24: 14.0 (14.0)
138.37.36.154->138.37.37.128: 1.0 (1.0)
138.37.0.88->138.37.36.20: 1.0 (1.0)
138.37.0.88->138.37.36.137: 1.0 (1.0)
138.37.36.221->138.37.36.138: 1.0 (1.0)
138.37.36.138->138.37.36.139: 0.0 (-1.0)
138.37.36.138->216.58.208.78: 2.0 (2.0)
138.37.36.138->138.37.36.173: 0.0 (-1.0)
138.37.36.145->138.37.36.129: 5.0 (5.0)
138.37.36.5->138.37.36.109: 1.0 (1.0)
138.37.36.5->138.37.36.27: 1.0 (1.0)
138.37.36.139->138.37.36.173: 0.0 (-1.0)
138.37.36.130->138.37.36.99: 15.0 (15.0)
138.37.36.180->138.37.36.39: 0.0 (-1.0)
138.37.36.180->138.37.36.165: 0.0 (-13.0)
138.37.36.173->138.37.36.97: 1.0 (1.0)
138.37.37.137->138.37.36.19: 0.0 (-1.0)

ANOMALY tick: +11@2015.04.01.15.39.45
138.37.36.248->138.37.37.194: 148.0 (-21.0)
138.37.36.248->138.37.37.196: 1.0 (1.0)
138.37.36.248->138.37.37.125: 5.0 (4.0)
138.37.36.248->138.37.37.34: 0.0 (-5.0)
138.37.37.238->138.37.36.111: 1.0 (1.0)
138.37.37.238->138.37.36.26: 2.0 (2.0)
138.37.37.238->138.37.36.201: 14.0 (8.0)
138.37.37.238->138.37.36.142: 12.0 (-17.0)
138.37.37.238->138.37.36.211: 3.0 (-5.0)
138.37.37.238->138.37.36.105: 2.0 (2.0)
138.37.37.238->138.37.36.116: 0.0 (-2.0)
138.37.37.238->138.37.36.102: 0.0 (-16.0)
138.37.37.238->138.37.36.25: 2.0 (2.0)
138.37.37.238->138.37.36.153: 16.0 (16.0)
138.37.37.238->138.37.36.112: 0.0 (-1.0)
138.37.37.238->138.37.36.143: 0.0 (-1.0)
138.37.37.238->138.37.36.28: 0.0 (-11.0)
138.37.37.238->138.37.36.51: 0.0 (-6.0)
138.37.37.238->138.37.36.107: 2.0 (1.0)
138.37.37.238->138.37.36.167: 0.0 (-11.0)
138.37.37.238->138.37.36.106: 0.0 (-5.0)
138.37.37.238->138.37.36.138: 0.0 (-42.0)
138.37.37.238->138.37.36.145: 2.0 (2.0)
138.37.37.238->138.37.36.140: 5.0 (5.0)
138.37.37.238->138.37.36.109: 5.0 (5.0)
138.37.37.238->138.37.36.198: 0.0 (-1.0)
138.37.37.238->138.37.36.33: 0.0 (-13.0)
138.37.37.238->138.37.36.97: 1.0 (1.0)
138.37.37.238->138.37.36.1: 0.0 (-3.0)
138.37.36.150->138.37.37.70: 0.0 (-2.0)
138.37.36.150->138.37.36.28: 0.0 (-1.0)
138.37.36.175->138.37.37.196: 0.0 (-1.0)
138.37.36.175->138.37.36.16: 0.0 (-2.0)
138.37.36.175->138.37.37.142: 0.0 (-3.0)
138.37.36.111->138.37.37.71: 1.0 (1.0)
138.37.37.196->138.37.36.132: 0.0 (-1.0)
138.37.37.196->138.37.36.160: 1.0 (-2.0)
138.37.37.196->138.37.37.68: 0.0 (-1.0)
138.37.37.196->138.37.36.168: 1.0 (1.0)
138.37.37.196->138.37.36.230: 0.0 (-1.0)
138.37.37.196->138.37.36.30: 1.0 (1.0)
138.37.37.196->138.37.36.133: 1.0 (1.0)
138.37.37.196->138.37.36.144: 0.0 (-3.0)
138.37.37.196->138.37.36.146: 1.0 (1.0)
138.37.37.196->138.37.36.224: 0.0 (-1.0)
138.37.37.196->138.37.36.102: 0.0 (-1.0)
138.37.37.196->138.37.36.122: 0.0 (-1.0)
138.37.37.196->138.37.36.172: 1.0 (1.0)
138.37.37.196->138.37.36.47: 1.0 (1.0)
138.37.37.196->138.37.36.202: 1.0 (1.0)
138.37.37.196->138.37.36.31: 0.0 (-1.0)
138.37.37.196->138.37.36.166: 2.0 (2.0)
138.37.37.196->138.37.36.210: 1.0 (1.0)
138.37.37.196->138.37.36.243: 1.0 (1.0)
138.37.37.196->138.37.36.28: 0.0 (-1.0)
138.37.37.196->138.37.36.58: 1.0 (1.0)
138.37.37.196->138.37.36.73: 1.0 (1.0)
138.37.37.196->138.37.36.51: 0.0 (-1.0)
138.37.37.196->138.37.36.167: 1.0 (1.0)
138.37.37.196->138.37.36.29: 1.0 (1.0)
138.37.37.196->138.37.36.125: 0.0 (-2.0)
138.37.37.196->138.37.36.145: 0.0 (-1.0)
138.37.37.196->138.37.36.5: 1.0 (1.0)
138.37.37.196->138.37.36.217: 0.0 (-1.0)
138.37.37.196->138.37.36.120: 0.0 (-1.0)
138.37.37.196->138.37.36.24: 0.0 (-1.0)
138.37.37.196->138.37.36.129: 0.0 (-1.0)
138.37.37.196->138.37.36.180: 0.0 (-1.0)
